0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Jan,1,5,9,13,17,20,24,28,32,36,40,43,47,51,55,59,63,67,71,75,78,82,86,90,94,98,102,105,109,113,117,121
Feb,121,125,129,132,136,140,144,148,152,156,159,163,167,171,175,179,183,187,190,194,198,202,206,210,214,217,221,225,229,0,0,0
Mar,229,233,237,241,244,248,252,256,260,264,268,271,275,279,283,287,291,295,299,303,306,310,314,318,322,326,329,333,337,341,345,349
Apr,349,353,356,360,364,368,372,376,380,384,387,391,395,399,403,407,411,415,418,422,426,430,434,438,441,445,449,453,457,461,465,0
May,465,469,472,476,480,484,488,492,496,500,503,507,511,515,519,523,527,531,534,538,542,546,550,554,557,561,565,569,573,577,581,584
Jun,584,588,592,596,600,604,608,612,616,619,623,627,631,635,639,642,646,650,654,658,662,666,669,673,677,681,685,689,693,697,700,0
Jul,700,704,708,712,716,720,724,728,732,735,739,743,747,751,755,758,762,766,770,774,778,782,785,789,793,797,801,805,809,812,816,820
Aug,820,824,828,832,836,840,844,847,851,855,859,863,867,870,874,878,882,886,890,894,898,901,905,909,913,917,921,925,928,932,936,940
Sep,940,944,948,952,956,959,963,967,971,975,979,983,986,990,994,998,1002,1006,1010,1013,1017,1021,1025,1029,1033,1037,1041,1045,1048,1052,1056,
Oct,1056,1060,1064,1068,1071,1075,1079,1083,1087,1091,1095,1099,1102,1106,1110,1114,1118,1122,1126,1129,1133,1137,1141,1145,1149,1153,1157,1161,1164,1168,1172,1176
Nov,1176,1180,1183,1187,1191,1195,1199,1203,1207,1211,1214,1218,1222,1226,1230,1234,1238,1241,1245,1249,1253,1257,1261,1265,1269,1273,1276,1280,1284,1288,1292,
Dec,1292,1295,1299,1303,1307,1311,1315,1319,1323,1327,1330,1334,1338,1342,1346,1350,1354,1358,1361,1365,1369,1373,1377,1381,1385,1388,1392,1396,1400,1404,1408,1411
Jan,1411,1415,1419,1423,1427,1431,1435,1439,1443,1446,1450,1454,1458,1462,1466,1470,1473,1477,1481,1485,1489,1493,1497,1500,1504,1508,1512,1516,1520,1524,1527,
Feb,1527,1531,1535,1539,1543,1547,1551,1555,1558,1562,1566,1570,1574,1578,1582,1586,1589,1593,1597,1601,1605,1609,1613,1616,1620,1624,1628,1632,1636,1640,,
Mar,1640,1643,1647,1651,1655,1659,1663,1667,1671,1674,1678,1682,1686,1690,1694,1698,1701,1705,1709,1713,1717,1721,1725,1728,1732,1736,1740,1744,1748,1752,1755,1759
Apr,1759,1763,1767,1771,1775,1779,1783,1786,1790,1794,1798,1802,1806,1810,1813,1817,1821,1825,1829,1833,1837,1840,1844,1848,1852,1856,1860,1864,1868,1871,1875,
May,1875,1879,1883,1887,1891,1895,1899,1902,1906,1910,1914,1918,1922,1926,1929,1933,1937,1941,1945,1949,1953,1956,1960,1964,1968,1972,1976,1980,1984,1987,1991,1995
Jun,1995,1999,2003,2007,2011,2014,2018,2022,2026,2030,2034,2038,2041,2045,2049,2053,2057,2061,2065,2068,2072,2076,2080,2084,2088,2092,2096,2100,2103,2107,2111,
Jul,2111,2115,2119,2123,2126,2130,2134,2138,2142,2146,2150,2153,2157,2161,2165,2169,2173,2177,2180,2184,2188,2192,2196,2200,2204,2208,2212,2215,2219,2223,2227,2231
Aug,2231,2235,2239,2242,2246,2250,2254,2258,2262,2266,2269,2273,2277,2281,2285,2289,2293,2296,2300,2304,2308,2312,2316,2320,2324,2328,2331,2335,2339,2343,2347,2351
Sep,2351,2354,2358,2362,2366,2370,2374,2378,2381,2385,2389,2393,2397,2401,2405,2409,2413,2416,2420,2424,2428,2432,2436,2440,2443,2447,2451,2455,2459,2463,2467,
Oct,2467,2470,2474,2478,2482,2486,2490,2494,2497,2501,2505,2509,2513,2517,2521,2525,2529,2532,2536,2540,2544,2548,2552,2555,2559,2563,2567,2571,2575,2579,2583,2586
Nov,2586,2590,2594,2598,2602,2606,2609,2613,2617,2621,2625,2629,2633,2637,2641,2645,2648,2652,2656,2660,2664,2667,2671,2675,2679,2683,2687,2691,2695,2698,2702,
Dec,2702,2706,2710,2714,2718,2722,2725,2729,2733,2737,2741,2745,2749,2753,2757,2760,2764,2768,2772,2776,2780,2783,2787,2791,2795,2799,2803,2807,2811,2814,2818,2821
